Smells Like Teen Spirit;Nirvana;1991;74;0.502;0.912;0.106;116.761;4
Stairway to Heaven;Led Zeppelin;1971;78;0.338;0.34;0.116;82.433;4
Bohemian Rhapsody;Queen;1975;74;0.392;0.402;0.243;143.883;4
Imagine;John Lennon;1971;77;0.547;0.257;0.0935;75.752;4
(I Can't Get No) Satisfaction - Mono Version;The Rolling Stones;1965;77;0.723;0.863;0.128;136.302;4
Hotel California;Eagles;1976;83;0.579;0.508;0.0575;147.125;4
Enter Sandman;Metallica;1991;74;0.579;0.824;0.059;123.331;4
Whole Lotta Love;Led Zeppelin;1969;77;0.412;0.902;0.405;89.74;4
Comfortably Numb;Pink Floyd;1979;74;0.472;0.366;0.0837;127.167;4
One;U2;1991;76;0.392;0.534;0.155;181.305;4
Born to Run;Bruce Springsteen;1975;73;0.27;0.944;0.116;146.347;4
Smoke on the Water;Deep Purple;1972;64;0.632;0.586;0.0535;114.243;4
Hey Jude;The Beatles;2000;76;0.386;0.607;0.088;147.207;4
Paranoid;Black Sabbath;1970;69;0.412;0.658;0.176;163.071;4
Seven Nation Army;The White Stripes;2003;65;0.726;0.463;0.255;123.881;4
Free Bird;Lynyrd Skynyrd;1973;71;0.249;0.834;0.0924;118.223;4
Back In Black;AC/DC;1980;84;0.31;0.7;0.0828;188.386;4
Sympathy For The Devil;The Rolling Stones;1968;75;0.702;0.668;0.0588;116.063;4
Wish You Were Here;Pink Floyd;1975;77;0.481;0.262;0.832;122.883;4
With Or Without You;U2;1987;79;0.54;0.429;0.141;110.171;4
Sweet Child O' Mine;Guns N' Roses;1987;81;0.454;0.91;0.116;125.116;4
I Still Haven't Found What I'm Looking For;U2;1987;78;0.564;0.774;0.0861;100.894;4
Like a Rolling Stone;Bob Dylan;1965;74;0.483;0.721;0.189;95.261;4
All Along the Watchtower;Jimi Hendrix;1968;78;0.438;0.805;0.0842;113.253;4
Under the Bridge;Red Hot Chili Peppers;1991;81;0.559;0.345;0.141;84.581;4
Creep;Radiohead;1993;82;0.515;0.43;0.129;91.841;4
Kashmir;Led Zeppelin;1975;69;0.48;0.536;0.155;80.617;3
Light My Fire;The Doors;1967;73;0.413;0.725;0.0905;124.618;4
My Generation;The Who;1965;68;0.412;0.782;0.0775;96.732;4
More Than a Feeling;Boston;1976;79;0.377;0.682;0.0504;108.736;4
Another Brick in the Wall;Pink Floyd;1979;76;0.694;0.394;0.247;104.126;4
Layla;Derek & The Dominos;1970;74;0.404;0.902;0.287;115.669;4
Gimme Shelter;The Rolling Stones;1969;75;0.634;0.63;0.17;118.628;4
You Shook Me All Night Long;AC/DC;1980;80;0.532;0.767;0.39;127.361;4
Alive;Pearl Jam;1991;75;0.284;0.875;0.402;75.009;4
Won't Get Fooled Again;The Who;1971;64;0.686;0.92;0.0807;135.027;4
London Calling;The Clash;1979;73;0.651;0.801;0.0825;133.763;4
Come As You Are;Nirvana;1991;72;0.5;0.824;0.0916;120.125;4
Purple Haze;Jimi Hendrix;1967;72;0.533;0.905;0.0698;108.9;4
Pride (In The Name Of Love);U2;1984;59;0.458;0.843;0.778;105.701;4
Dream On;Aerosmith;1973;79;0.307;0.433;0.332;160.9;4
Sunday Bloody Sunday;U2;1983;71;0.543;0.944;0.0373;101.174;4
